toto velké dítě (1.p.);dieses große Kind;xxfds
toto velké dítě (2.p.);dieses großen Kindes;
toto velké dítě (3.p.);diesem großen Kind;
toto velké dítě (4.p.);dieses große Kind;
některé malé dítě (1.p.);manches kleine Kind;
některé malé dítě (2.p.);manches kleinen Kindes;
některé malé dítě (3.p.);manchem kleinen Kind;
některé malé dítě (4.p.);manches kleine Kind;
kazdé dobré dítě (1.p.);jedes gute Kind;
kazdé dobré dítě (2.p.);jedes guten Kindes;
kazdé dobré dítě (3.p.);jedem guten Kind;
kazdé dobré dítě (4.p.);jedes gute Kind;
tyto milé děti (1.p.);diese netten Kinder;
tyto milé děti (2.p.);dieser netten Kinder;
tyto milé děti (3.p.);diesen netten Kindern;
tyto milé děti (4.p.);diese netten Kinder;
některé dobré děti (1.p.);manche guten Kinder;
některé dobré děti (2.p.);mancher guten Kinder;
některé dobré děti (3.p.);manchen guten Kindern;
některé dobré děti (4.p.);manche guten Kinder;
všechny velké děti (1.p.);alle großen Kinder;
všechny velké děti (2.p.);aller großen Kinder;
všechny velké děti (3.p.);allen großen Kindern;
všechny velké děti (4.p.);alle großen Kinder;
její černé auto (1.p.);ihr schwarzes Auto;
jeho černé auto (2.p.);seines schwarzen Autos;
naše černé auto (3.p.);unserem schwarzen Auto;
vaše (tykání) černé auto (4.p.);euer schwarzes Auto;
vaše (vykání) červené auto (1.p.);Ihr rotes Auto;
jejich červené auto (2.p.);ihres roten Autos;
nějaké červené auto (3.p.);einem roten Auto;
žádné červené auto (4.p.);kein rotes Auto;
moje staré auto (1.p.);mein altes Auto;
tvoje staré auto (2.p.);deines alten Autos;
její staré auto (3.p.);ihrem alten Auto;
jeho staré auto (4.p.);sein altes Auto;
naše dobrá auta (1.p.);unsere guten Autos;
vaše (tykání) dobrá auta (2.p.);eurer guten Autos;
vaše (vykání) dobrá auta (3.p.);Ihren guten Autos;
jejich dobrá auta (4.p.);ihre guten Autos;
nějaká černá auta (1.p.);schwarze Autos;
žádná černá auta (2.p.);keiner schwarzen Autos;
moje černá auta (3.p.);meinen schwarzen Autos;
tvoje černá auta (4.p.);deine schwarzen Autos;
její červená auta (1.p.);ihre roten Autos;
jeho červená auta (2.p.);seiner roten Autos;
naše červená auta (3.p.);unseren roten Autos;
vaše (tykání) červená auta (4.p.);eure roten Autos;
tato velká kuchyně (1.p.);diese große Küche;
