ten chlapec (1.p.);der Junge;Nominativ - slabé mužské podstatné jméno (N-deklinace) má v 1. p. tvar bez koncovky -n
ten chlapec (2.p.);des Jungen;N-deklinace: slabá maskulina přibírají ve všech pádech kromě 1.p. koncovku -(e)n
ten chlapec (3.p.);dem Jungen;N-deklinace: koncovka -n zůstává ve 3. p. stejně jako ve 2. a 4. p.
ten chlapec (4.p.);den Jungen;N-deklinace: koncovka -n i ve 4. p., na rozdíl od silných maskulin typu Mann
ti chlapci (1.p.);die Jungen;Plurál slabých maskulin má ve všech pádech koncovku -n
ti chlapci (2.p.);der Jungen;Plurál: genitiv množného čísla = stejný tvar jako nominativ plurálu (-n)
ti chlapci (3.p.);den Jungen;Plurál: dativ množného čísla už -n má, další -n se nepřidává
ti chlapci (4.p.);die Jungen;Plurál: akuzativ = nominativ plurálu, tvar se nemění
ten student (1.p.);der Student;Nominativ - N-deklinace, základní tvar bez koncovky
ten student (2.p.);des Studenten;N-deklinace: přípona -en v 2. p. jednotného čísla místo klasického -(e)s
ten student (3.p.);dem Studenten;N-deklinace: přípona -en zachována i ve 3. p.
ten student (4.p.);den Studenten;N-deklinace: přípona -en i ve 4. p.
ti studenti (1.p.);die Studenten;Plurál slabých maskulin: koncovka -en ve všech pádech
ti studenti (2.p.);der Studenten;Plurál genitiv = tvar shodný s nominativem plurálu
ti studenti (3.p.);den Studenten;Plurál dativ: -en je již součástí základu, nepřidává se další -n
ti studenti (4.p.);die Studenten;Plurál akuzativ shodný s nominativem
ten pán (1.p.);der Herr;Nominativ - zvláštní slabé maskulinum
ten pán (2.p.);des Herrn;'Herr' je výjimka: v jednotném čísle přibírá jen -n, ne -en
ten pán (3.p.);dem Herrn;Zvláštní tvar 'Herrn' platí pro všechny pády jednotného čísla kromě 1.p.
ten pán (4.p.);den Herrn;Stejná výjimka -n i ve 4. p. jednotného čísla
ti pánové (1.p.);die Herren;V plurálu se 'Herr' chová jako běžné slabé maskulinum s koncovkou -en
ti pánové (2.p.);der Herren;Plurál genitiv = nominativ plurálu (-en)
ti pánové (3.p.);den Herren;Plurál dativ: -en je již přítomno, žádná další koncovka
ti pánové (4.p.);die Herren;Plurál akuzativ shodný s nominativem
