Čeština,Němčina,Vysvětlení
tento starý strom (1.p.),dieser alte Baum,Po 'dieser' se adjektivum skloňuje slabě (-e); Baum je maskulinum
některý vysoký strom (2.p.),manches hohen Baumes,Adjektivum 'hoch' mění kmen na 'hoh-'; genitiv podstatného jména -es
každý mladý strom (3.p.),jedem jungen Baum,Po 'jeder' slabá koncovka -en i v dativu
žádný starý strom (4.p.),keinen alten Baum,Po 'kein' slabá koncovka -en v akuzativu maskulina
všechny vysoké stromy (1.p.),alle hohen Bäume,"Plurál: 'alle' + slabé adjektivum -en, podstatné jméno s přehláskou"
toto srdce (1.p.),dieses Herz,"Nepravidelné neutrum, nominativ bez koncovky"
některé velké srdce (2.p.),manches großen Herzens,"'Herz' přibírá v genitivu koncovku -ens, adjektivum slabě -en"
každé dobré srdce (3.p.),jedem guten Herzen,'Herz' přibírá v dativu koncovku -en
žádné staré srdce (4.p.),kein altes Herz,Akuzativ 'Herz' shodný se základním tvarem; po 'kein' adjektivum silně -es
tento chlapec (1.p.),dieser Junge,N-deklinace: podstatné jméno v 1.p. bez koncovky
některý mladý chlapec (2.p.),manches jungen Jungen,N-deklinace: -n místo -(e)s; adjektivum slabě -en
každý milý chlapec (3.p.),jedem netten Jungen,N-deklinace: koncovka -n i v dativu
žádný starý chlapec (4.p.),keinen alten Jungen,N-deklinace: koncovka -n i v akuzativu
tito chlapci (1.p.),diese Jungen,Plurál N-deklinace: koncovka -n ve všech pádech
tento student (1.p.),dieser Student,"N-deklinace, nominativ bez koncovky"
žádný mladý student (2.p.),keines jungen Studenten,N-deklinace: -en místo -(e)s
každý dobrý student (3.p.),jedem guten Studenten,N-deklinace: koncovka -en i v dativu
některý milý student (4.p.),manchen netten Studenten,N-deklinace: koncovka -en i v akuzativu
tento pán (1.p.),dieser Herr,Zvláštní slabé maskulinum
žádný starý pán (2.p.),keines alten Herrn,"'Herr' přibírá v genitivu jen -n, ne -en"
některý milý pán (3.p.),manchem netten Herrn,'Herr' má stejný tvar -n i v dativu
každý mladý pán (4.p.),jeden jungen Herrn,'Herr' má stejný tvar -n i v akuzativu
toto jméno (1.p.),dieser Name,"Smíšená N-deklinace, mužský rod v němčině"
žádné krátké jméno (2.p.),keines kurzen Namens,"'Name' přibírá v genitivu -ns, ne jen -n"
některé dlouhé jméno (3.p.),manchem langen Namen,Ve 3.p. má 'Name' běžnou koncovku -n
každé staré jméno (4.p.),jeden alten Namen,Ve 4.p. rovněž koncovka -n
který nový dům (1.p.),welches neue Haus,'Welcher' se skloňuje jako 'dieser'; neutrum 'welches'
takový velký dům (2.p.),solches großen Hauses,'Solcher' se skloňuje jako 'dieser'; genitiv podstatného jména -es
který starý byt (3.p.),welchem alten Zimmer,"Dativ neutra: 'welchem', adjektivum slabě -en"
takové malé byty (4.p.),solche kleinen Zimmer,Plurál: 'solche' + slabé adjektivum -en
moje nejlepší přítelka (1.p.),meine beste Freundin,Superlativ 'best' se skloňuje jako běžné adjektivum po přivlastňovacím zájmenu
tvého nejstaršího bratra (2.p.),deines ältesten Bruders,Superlativ 'ältest' po přivlastňovacím zájmenu ve slabé deklinaci -en
jeho staršímu synovi (3.p.),seinem älteren Sohn,Komparativ 'älter' po přivlastňovacím zájmenu -en
naši drahé auto (4.p.),unser teures Auto,Adjektivum 'teuer' vypouští kmenové 'e'; po 'unser' bez koncovky je adjektivum silné -es
některá krátká otázka (1.p.),manche kurze Frage,Femininum: 'manche' + slabé adjektivum -e
žádné dlouhé otázky (2.p.),keiner langen Fragen,"Genitiv plurálu: 'keiner', adjektivum -en"
každé nové otázce (3.p.),jeder neuen Frage,"Dativ feminina: 'jeder', adjektivum -en"
všechny staré otázky (4.p.),alle alten Fragen,"Akuzativ plurálu: 'alle', adjektivum -en"
toto muzeum (1.p.),dieses alte Museum,"Neutrum na -um, adjektivum slabě -e"
některého velkého muzea (2.p.),manches großen Museums,"Genitiv: 'manches', podstatné jméno na -um má jen -s"
každému malému muzeu (3.p.),jedem kleinen Museum,Dativ: tvar podstatného jména se nemění
všechna nová muzea (4.p.),alle neuen Museen,"Plurál: nepravidelný tvar Museen, adjektivum -en"
jeho stará adresa (1.p.),seine alte Adresse,Přivlastňovací zájmeno + slabé adjektivum -e u feminina
její krátké adresy (2.p.),ihrer kurzen Adressen,"Genitiv plurálu feminina: 'ihrer', adjektivum -en"
naší nové adrese (3.p.),unserer neuen Adresse,"Dativ feminina: 'unserer', adjektivum -en"
vaše (vykání) staré adresy (4.p.),Ihre alten Adressen,"Akuzativ plurálu: 'Ihre' (vykání s velkým I), adjektivum -en"
žádný sladký med (1.p.),kein süßer Honig,Po 'kein' v singuláru maskulina je adjektivum silné -er
